Rank,Title,Band,Country,Year,Compilation,Live,YearRank,DecadeRank,OverallRank,RankScore,AvgRating,NumRatings,AlbumID
1,To Pimp A Butterfly,Kendrick Lamar,us,2015,No,No,1,1,23,41264,89.663078308,1926,77758
2,My Beautiful Dark Twisted Fantasy,Kanye West,us,2010,No,No,1,2,34,32562,84.707931519,2057,12555
3,+ACI-Good Kid, M.A.A.D City+ACI-,Kendrick Lamar,us,2012,No,No,1,3,39,30586,88.230392456,1761,31103
4,The Suburbs,Arcade Fire,un,2010,No,No,2,4,41,29576,84.59677124,2506,11127
5,Lonerism,Tame Impala,au,2012,No,No,2,5,66,22215,85.049057007,1706,30179
6,Carrie +ACY- Lowell,Sufjan Stevens,us,2015,No,No,2,6,77,19826,86.370429993,1292,77287
7,A Moon Shaped Pool,Radiohead,uk,2016,No,No,1,7,84,18862,87.322975159,1864,97640
8,Blonde,Frank Ocean,us,2016,No,No,2,8,114,14871,83.949378967,924,101825
9,Modern Vampires Of The City,Vampire Weekend,us,2013,No,No,1,9,123,14234,82.293838501,1249,40623
10,High Violet,The National,us,2010,No,No,3,10,128,13798,81.729293823,1203,10071
11,+//3//f/9- (Blackstar),David Bowie,uk,2016,No,No,3,11,132,13410,85.679077148,1440,91441
12,Teen Dream,Beach House,us,2010,No,No,4,12,147,12212,82.591293335,1138,8654
13,Channel Orange,Frank Ocean,us,2012,No,No,3,13,157,11721,81.674919128,1137,27926
14,Currents,Tame Impala,au,2015,No,No,3,14,161,11440,81.460708618,1233,83014
15,Helplessness Blues,Fleet Foxes,us,2011,No,No,1,15,162,11217,81.778022766,1206,15715
16,Bon Iver,Bon Iver,us,2011,No,No,2,16,165,11164,80.189918518,1240,15977
17,Lost In The Dream,The War On Drugs,us,2014,No,No,1,17,168,11103,82.136421204,1036,57911
18,This Is Happening,LCD Soundsystem,us,2010,No,No,5,18,187,10069,82.39390564,1026,10213
19,AM,Arctic Monkeys,uk,2013,No,No,2,19,195,9502,77.077880859,1376,46565
20,Reflektor,Arcade Fire,un,2013,No,No,3,20,197,9399,79.306488037,1452,47833
21,Yeezus,Kanye West,us,2013,No,No,4,21,198,9395,77.518783569,1236,42510
22,...Like Clockwork,Queens Of The Stone Age,us,2013,No,No,5,22,207,9213,82.708099365,1029,40624
23,Bloom,Beach House,us,2012,No,No,4,23,208,9179,81.509086609,1022,23435
24,Teens Of Denial,Car Seat Headrest,us,2016,No,No,4,24,210,9094,82.891136169,734,97304
25,The Money Store,Death Grips,us,2012,No,No,5,25,216,9031,82.295280457,851,24616
26,An Awesome Wave,alt+AC0-J,uk,2012,No,No,6,26,219,8922,78.13130188,924,27384
27,Random Access Memories,Daft Punk,fr,2013,No,No,6,27,223,8771,79.442207336,1284,40834
28,To Be Kind,Swans,us,2014,No,No,2,28,247,8053,82.183235168,782,58788
29,Halcyon Digest,Deerhunter,us,2010,No,No,6,29,249,8007,82.095657349,831,12080
30,Plastic Beach,Gorillaz,uk,2010,No,No,7,30,257,7738,79.201698303,1108,9379
31,The Smile Sessions,The Beach Boys,us,2011,No,No,3,31,266,7506,85.768638611,738,6368
32,+ACI-I Love You, Honeybear+ACI-,Father John Misty,us,2015,No,No,4,32,277,7220,80.438316345,821,74021
33,Trouble Will Find Me,The National,us,2013,No,No,7,33,284,6914,79.567550659,865,40749
34,Damn.,Kendrick Lamar,us,2017,No,No,1,34,295,6740,80.071372986,1104,113818
35,Let England Shake,PJ Harvey,uk,2011,No,No,4,35,298,6710,80.180198669,859,14096
36,Brothers,The Black Keys,us,2010,No,No,8,36,310,6351,78.60193634,1159,10485
37,Atrocity Exhibition,Danny Brown,us,2016,No,No,5,37,314,6326,83.019348145,606,102738
38,The Age Of Adz,Sufjan Stevens,us,2010,No,No,9,38,320,6231,80.132286072,745,12333
39,The Idler Wheel Is Wiser Than The Driver Of The Screw And Whipping Cords Will Serve You More Than Ropes Will Ever Do,Fiona Apple,us,2012,No,No,7,39,321,6135,80.99797821,673,26615
40,The King Of Limbs,Radiohead,uk,2011,No,No,5,40,327,6023,75.670639038,1865,14352
41,Twin Fantasy (Face To Face),Car Seat Headrest,us,2018,No,No,1,41,333,5941,81.780418396,717,130483
42,Benji,Sun Kil Moon,us,2014,No,No,3,42,338,5889,79.807350159,723,55496
43,Melodrama,Lorde,nz,2017,No,No,2,43,340,5880,80.809753418,668,114438
44,Igor,+ACI-Tyler, The Creator+ACI-,us,2019,No,No,1,44,346,5818,83.079360962,615,153328
45,Innerspeaker,Tame Impala,au,2010,No,No,10,45,350,5709,80.657516479,959,10547
46,El Camino,The Black Keys,us,2011,No,No,6,46,358,5545,78.088729858,988,20172
47,Flower Boy,+ACI-Tyler, The Creator+ACI-,us,2017,No,No,3,47,367,5390,83.672111511,680,118833
48,Have One On Me,Joanna Newsom,us,2010,No,No,11,48,374,5274,81.313560486,457,9258
49,Norman Fucking Rockwell+ACE-,Lana Del Rey,us,2019,No,No,2,49,381,5130,82.793067932,536,157193
50,Run The Jewels 2,Run The Jewels,us,2014,No,No,4,50,386,5100,81.8670578,701,69174
51,Contra,Vampire Weekend,us,2010,No,No,12,51,390,5074,77.038566589,1021,8354
52,Titanic Rising,Weyes Blood,us,2019,No,No,3,52,394,5022,81.96912384,590,149404
53,Kids See Ghosts,Kids See Ghosts,us,2018,No,No,2,53,397,5009,81.705429077,724,136585
54,+ACI-22, A Million+ACI-,Bon Iver,us,2016,No,No,6,54,409,4843,78.147071838,630,101253
55,The Seer,Swans,us,2012,No,No,8,55,411,4831,81.305168152,596,29593
56,Art Angels,Grimes,ca,2015,No,No,5,56,415,4772,78.796882629,568,88732
57,Born To Die,Lana Del Rey,us,2012,No,No,9,57,428,4604,71.82359314,748,22594
58,Skeleton Tree,Nick Cave +ACY- The Bad Seeds,au,2016,No,No,7,58,431,4595,82.858055115,594,102578
59,The Life Of Pablo,Kanye West,us,2016,No,No,8,59,434,4543,75.278999329,867,94187
60,A Deeper Understanding,The War On Drugs,us,2017,No,No,4,60,435,4534,81.148719788,529,116539
61,Salad Days,Mac DeMarco,ca,2014,No,No,5,61,442,4426,79.80683136,743,55952
62,Kaputt,Destroyer,ca,2011,No,No,7,62,450,4376,79.326515198,538,13884
63,St. Vincent,St. Vincent,us,2014,No,No,6,63,459,4283,79.202552795,730,56062
64,The ArchAndroid,Janelle Monae,us,2010,No,No,13,64,463,4215,80.45526886,549,10576
65,+ACI-Hurry Up, We're Dreaming+ACI-,M83,fr,2011,No,No,8,65,476,4081,77.449203491,588,19045
66,Sunbather,Deafheaven,us,2013,No,No,8,66,479,4065,78.416976929,510,41744
67,+ACI-Sometimes I Sit And Think, And Sometimes I Just Sit+ACI-,Courtney Barnett,au,2015,No,No,6,67,481,4049,78.839958191,628,75424
68,21,Adele,uk,2011,No,No,9,68,503,3872,72.017929077,832,14449
69,Black Messiah,D'Angelo And The Vanguard,us,2014,No,No,7,69,508,3822,81.555084229,439,72458
70,Wasting Light,Foo Fighters,us,2011,No,No,10,70,518,3734,76.521224976,718,15342
71,Lemonade,Beyonce,us,2016,No,No,9,71,534,3613,77.519538879,527,97211
72,You Won't Get What You Want,Daughters,us,2018,No,No,3,72,535,3598,81.296951294,401,139067
73,Visions,Grimes,ca,2012,No,No,10,73,545,3525,76.981201172,657,22850
74,We Got It From Here... Thank You 4 Your Service,A Tribe Called Quest,us,2016,No,No,10,74,547,3487,82.449668884,494,105438
75,2,Mac DeMarco,ca,2012,No,No,11,75,548,3487,79.846458435,466,33494
76,Cosmogramma,Flying Lotus,us,2010,No,No,14,76,549,3485,80.682128906,519,10240
77,E+//3//f/9-MO+//3//f/9-TION,Carly Rae Jepsen,ca,2015,No,No,7,77,554,3475,77.412536621,339,82710
78,7,Beach House,us,2018,No,No,4,78,555,3473,79.856575012,610,132038
79,Hand. Cannot. Erase.,Steven Wilson,uk,2015,No,No,8,79,563,3412,80.570869446,353,76463
80,Pi+//3//Q-ata,Freddie Gibbs +ACY- Madlib,us,2014,No,No,8,80,565,3400,80.187416077,441,57540
81,Congratulations,MGMT,us,2010,No,No,15,81,566,3397,75.342300415,711,9868
82,Have You In My Wilderness,Julia Holter,us,2015,No,No,9,82,580,3315,80.3776474,385,83821
83,In Colour,Jamie xx,uk,2015,No,No,10,83,587,3294,78.509132385,569,80425
84,m b v,My Bloody Valentine,un,2013,No,No,9,84,588,3291,78.425895691,663,36356
85,Slowdive,Slowdive,uk,2017,No,No,5,85,590,3285,80.357406616,523,113199
86,Strange Mercy,St. Vincent,us,2011,No,No,11,86,601,3243,78.968780518,494,18496
87,A Crow Looked At Me,Mount Eerie,us,2017,No,No,6,87,608,3202,80.023574829,540,109527
88,Pure Heroine,Lorde,nz,2013,No,No,10,88,611,3178,75.270942688,507,47899
89,Joy As An Act Of Resistance.,Idles,uk,2018,No,No,5,89,621,3092,80.562095642,400,138941
90,Sleep Well Beast,The National,us,2017,No,No,7,90,633,3030,79.558258057,487,115405
91,Acid Rap,Chance The Rapper,us,2013,No,No,11,91,636,3002,77.800964355,476,40461
92,The Wild Hunt,The Tallest Man On Earth,se,2010,No,No,16,92,650,2955,77.761108398,445,10241
93,The Epic,Kamasi Washington,us,2015,No,No,11,93,652,2953,82.03553009,439,79607
94,Section.80,Kendrick Lamar,us,2011,No,No,12,94,675,2863,79.594772339,605,16783
95,Shields,Grizzly Bear,us,2012,No,No,12,95,677,2840,78.820419312,568,28062
96,Wide Awake+ACE-,Parquet Courts,us,2018,No,No,6,96,684,2808,79.973487854,460,132467
97,Pure Comedy,Father John Misty,us,2017,No,No,8,97,686,2802,76.902702332,545,109484
98,Untitled Unmastered.,Kendrick Lamar,us,2016,No,No,11,98,687,2798,80.003547668,758,95142
99,American Dream,LCD Soundsystem,us,2017,No,No,9,99,692,2766,78.150688171,540,117710
100,Depression Cherry,Beach House,us,2015,No,No,12,100,714,2671,77.598503113,478,83434
101,+ACI-+ACY-quot+ADs-Awaken, My Love+ACEAJg-quot+ADs-+ACI-,Childish Gambino,us,2016,No,No,12,101,732,2599,79.001449585,438,105906
102,Crack+AC0-Up,Fleet Foxes,us,2017,No,No,10,102,733,2594,78.607635498,506,111855
103,Nonagon Infinity,King Gizzard +ACY- The Lizard Wizard,au,2016,No,No,13,103,743,2559,81.077484131,377,97410
104,My Woman,Angel Olsen,us,2016,No,No,14,104,744,2558,79.289039612,372,100712
105,James Blake,James Blake,uk,2011,No,No,13,105,752,2537,73.734886169,571,13903
106,Vulnicura,Bj+//3//Q-rk,is,2015,No,No,13,106,754,2534,78.850631714,509,74451
107,Magdalene,FKA Twigs,uk,2019,No,No,4,107,756,2527,81.070739746,285,159006
108,Ultraviolence,Lana Del Rey,us,2014,No,No,9,108,759,2524,74.52973175,408,61760
109,They Want My Soul,Spoon,us,2014,No,No,10,109,763,2515,78.831787109,429,61775
110,Suck It And See,Arctic Monkeys,uk,2011,No,No,14,110,766,2502,73.60446167,775,16136
111,Ceremonials,Florence  The Machine,uk,2011,No,No,15,111,770,2468,74.74671936,403,19569
112,Blunderbuss,Jack White,us,2012,No,No,13,112,782,2424,76.991241455,733,23833
113,Little Dark Age,MGMT,us,2018,No,No,7,113,786,2404,79.559463501,674,129036
114,Exmilitary,Death Grips,us,2011,No,No,16,114,790,2392,80.34627533,411,17635
115,Golden Hour,Kacey Musgraves,us,2018,No,No,8,115,795,2367,76.494262695,316,132058
116,Divers,Joanna Newsom,us,2015,No,No,14,116,802,2340,81.304504395,323,88303
117,Alvvays,Alvvays,ca,2014,No,No,11,117,803,2338,78.465270996,296,60451
118,LP1,FKA Twigs,uk,2014,No,No,12,118,810,2316,75.893180847,460,63947
119,We Are The 21st Century Ambassadors Of Peace And Magic,Foxygen,us,2013,No,No,12,119,812,2312,76.315368652,500,35450
120,Take Care,Drake,ca,2011,No,No,17,120,814,2310,70.867958069,364,19923
121,Push The Sky Away,Nick Cave +ACY- The Bad Seeds,au,2013,No,No,13,121,818,2303,78.344352722,390,36536
122,Saturation III,Brockhampton,us,2017,No,No,11,122,824,2288,82.885978699,391,126748
123,Tranquility Base Hotel +ACY- Casino,Arctic Monkeys,uk,2018,No,No,9,123,826,2282,71.963096619,603,133702
124,Loud City Song,Julia Holter,us,2013,No,No,14,124,832,2268,78.144927979,317,45141
125,Weezer (The White Album),Weezer,us,2016,No,No,15,125,841,2242,77.525596619,492,96274
126,Malibu,Anderson .Paak,us,2016,No,No,16,126,843,2241,79.380722046,465,92476
127,The Raven That Refused To Sing (And Other Stories),Steven Wilson,uk,2013,No,No,15,127,851,2219,78.686782837,312,35751
128,Torches,Foster The People,us,2011,No,No,18,128,852,2215,71.548126221,509,16037
129,You're Dead+ACE-,Flying Lotus,us,2014,No,No,13,129,868,2159,79.331733704,414,68119
130,Some Rap Songs,Earl Sweatshirt,us,2018,No,No,10,130,873,2148,78.705749512,302,142782
131,Saturation II,Brockhampton,us,2017,No,No,12,131,878,2139,81.99671936,410,121720
132,Amok,Atoms For Peace,un,2013,No,No,16,132,889,2110,74.941543579,554,37028
133,Pom Pom,Ariel Pink,us,2014,No,No,14,133,906,2069,78.117454529,308,69152
134,This Is All Yours,alt+AC0-J,uk,2014,No,No,15,134,910,2067,72.525978088,486,66880
