album,name,artist,release_date,album_image_url,artist_image_url,id,year,featured_artists,artist_genres,artist_popularity,followers,track_number,tracks_on_album,album_label,explicit,duration_minutes,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,tempo_confidence,track_length,end_fade_in,start_fade_out,end_silence_time,uri,track_href,analysis_url,artist_uri,album_uri,artist_spotify_link,tatums_per_minute,beats_per_minute,bars_per_minute
The Saga Continues,Wu-Tang The Saga Continues Intro (feat. RZA),Wu-Tang Clan,2017-10-13,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd,https://i.scdn.co/image/c4014e4323f08d1a32d63c69f15230ad69a8099d,2EsC5nxXhoMrOsYbt59VUM,2017,RZA,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",71,2024822,1,18,eOne Music,1,1.518,32,0.48,0.718,1,-5.304,0,0.402,0.0182,0.00196,0.177,0.376,75.086,0.06,91.08027,0.0,86.68009,4.400179999999992,spotify:track:2EsC5nxXhoMrOsYbt59VUM,https://api.spotify.com/v1/tracks/2EsC5nxXhoMrOsYbt59VUM,https://api.spotify.com/v1/audio-analysis/2EsC5nxXhoMrOsYbt59VUM,spotify:artist:34EP7KEpOjXcM2TCat1ISk,spotify:album:7gA7voyYSM2TE9CREUkmtX,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,155.467720685112,77.733860342556,19.104084321475625
The Saga Continues,Lesson Learn'd (feat. Inspectah Deck and Redman),Wu-Tang Clan,2017-10-13,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd,https://i.scdn.co/image/c4014e4323f08d1a32d63c69f15230ad69a8099d,2RQ47bAanXMoCKIIUn5Kxn,2017,Redman,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",71,2024822,2,18,eOne Music,1,3.3777666666666666,45,0.846,0.875,7,-3.575,1,0.22,0.000621,0.000239,0.644,0.198,89.966,0.164,202.66667,0.0,195.45396,7.2127100000000155,spotify:track:2RQ47bAanXMoCKIIUn5Kxn,https://api.spotify.com/v1/tracks/2RQ47bAanXMoCKIIUn5Kxn,https://api.spotify.com/v1/audio-analysis/2RQ47bAanXMoCKIIUn5Kxn,spotify:artist:34EP7KEpOjXcM2TCat1ISk,spotify:album:7gA7voyYSM2TE9CREUkmtX,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,176.44794884193698,88.22397442096849,21.907966802522377
The Saga Continues,Fast and Furious (feat. Hue Hef and Raekwon),Wu-Tang Clan,2017-10-13,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd,https://i.scdn.co/image/c4014e4323f08d1a32d63c69f15230ad69a8099d,2B6lQV5InRy13vd7wl26jg,2017,Raekwon,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",71,2024822,3,18,eOne Music,1,3.7051666666666665,34,0.742,0.88,7,-4.063,0,0.129,0.00224,0.0,0.342,0.401,94.997,0.315,222.31052,0.0,216.3229,5.987619999999993,spotify:track:2B6lQV5InRy13vd7wl26jg,https://api.spotify.com/v1/tracks/2B6lQV5InRy13vd7wl26jg,https://api.spotify.com/v1/audio-analysis/2B6lQV5InRy13vd7wl26jg,spotify:artist:34EP7KEpOjXcM2TCat1ISk,spotify:album:7gA7voyYSM2TE9CREUkmtX,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,189.4651612613018,94.7325806306509,24.290405289910485
The Saga Continues,Famous Fighters (Skit),Wu-Tang Clan,2017-10-13,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd,https://i.scdn.co/image/c4014e4323f08d1a32d63c69f15230ad69a8099d,09zHR2ttyr84ibzpBVrmNu,2017,No Features,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",71,2024822,4,18,eOne Music,1,1.3434333333333333,30,0.901,0.877,8,-5.747,1,0.286,0.0656,0.136,0.357,0.438,102.993,0.938,80.6068,0.0,80.6068,0.0,spotify:track:09zHR2ttyr84ibzpBVrmNu,https://api.spotify.com/v1/tracks/09zHR2ttyr84ibzpBVrmNu,https://api.spotify.com/v1/audio-analysis/09zHR2ttyr84ibzpBVrmNu,spotify:artist:34EP7KEpOjXcM2TCat1ISk,spotify:album:7gA7voyYSM2TE9CREUkmtX,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,203.95504056769968,101.97752028384984,24.563928243555072
The Saga Continues,If Time Is Money (Fly Navigation) [feat. Method Man],Wu-Tang Clan,2017-10-13,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd,https://i.scdn.co/image/c4014e4323f08d1a32d63c69f15230ad69a8099d,5l3C7CgpiOoGF6B8qzbOR3,2017,Method Man,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",71,2024822,5,18,eOne Music,1,3.8974333333333333,38,0.704,0.727,4,-5.341,0,0.127,0.0513,5.49e-06,0.24,0.597,78.023,0.348,233.8469,0.0,225.11746,8.729440000000011,spotify:track:5l3C7CgpiOoGF6B8qzbOR3,https://api.spotify.com/v1/tracks/5l3C7CgpiOoGF6B8qzbOR3,https://api.spotify.com/v1/audio-analysis/5l3C7CgpiOoGF6B8qzbOR3,spotify:artist:34EP7KEpOjXcM2TCat1ISk,spotify:album:7gA7voyYSM2TE9CREUkmtX,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,155.48694439930551,77.74347219965276,18.986854596614865
The Saga Continues,"Frozen (feat. Method Man, Killa Priest and Chris Rivers)",Wu-Tang Clan,2017-10-13,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd,https://i.scdn.co/image/c4014e4323f08d1a32d63c69f15230ad69a8099d,549Vf052y5gI5Ix6o57NPL,2017,Method Man,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",71,2024822,6,18,eOne Music,1,4.160066666666666,40,0.661,0.823,8,-3.375,0,0.303,0.0426,0.0,0.141,0.435,89.809,0.145,249.60477,0.0,244.45969,5.145080000000007,spotify:track:549Vf052y5gI5Ix6o57NPL,https://api.spotify.com/v1/tracks/549Vf052y5gI5Ix6o57NPL,https://api.spotify.com/v1/audio-analysis/549Vf052y5gI5Ix6o57NPL,spotify:artist:34EP7KEpOjXcM2TCat1ISk,spotify:album:7gA7voyYSM2TE9CREUkmtX,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,176.43948013653628,88.21974006826814,22.115030207849234
The Saga Continues,Berto and the Fiend (Skit) [feat. Ghostface Killa],Wu-Tang Clan,2017-10-13,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd,https://i.scdn.co/image/c4014e4323f08d1a32d63c69f15230ad69a8099d,7yBCiwqSQN3gfcpnJxKGU2,2017,Ghostface Killah,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",71,2024822,7,18,eOne Music,1,0.7541666666666667,28,0.468,0.754,8,-2.827,1,0.224,0.47,0.0,0.198,0.8,114.873,0.188,45.24998,0.0,45.24998,0.0,spotify:track:7yBCiwqSQN3gfcpnJxKGU2,https://api.spotify.com/v1/tracks/7yBCiwqSQN3gfcpnJxKGU2,https://api.spotify.com/v1/audio-analysis/7yBCiwqSQN3gfcpnJxKGU2,spotify:artist:34EP7KEpOjXcM2TCat1ISk,spotify:album:7gA7voyYSM2TE9CREUkmtX,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,225.41436464088397,112.70718232044199,26.519337016574585
The Saga Continues,"Pearl Harbor (feat. Ghostface Killah, Method Man, RZA and Sean Price)",Wu-Tang Clan,2017-10-13,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd,https://i.scdn.co/image/c4014e4323f08d1a32d63c69f15230ad69a8099d,6I22qil0SJzTpAMuRQXOWF,2017,RZA,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",71,2024822,8,18,eOne Music,1,4.983316666666667,39,0.683,0.843,10,-3.012,0,0.252,0.0436,0.0,0.183,0.581,78.074,0.033,298.999,0.0,298.999,0.0,spotify:track:6I22qil0SJzTpAMuRQXOWF,https://api.spotify.com/v1/tracks/6I22qil0SJzTpAMuRQXOWF,https://api.spotify.com/v1/audio-analysis/6I22qil0SJzTpAMuRQXOWF,spotify:artist:34EP7KEpOjXcM2TCat1ISk,spotify:album:7gA7voyYSM2TE9CREUkmtX,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,156.5222626162629,78.26113130813145,19.464948043304492
The Saga Continues,People Say (feat. Redman),Wu-Tang Clan,2017-10-13,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd,https://i.scdn.co/image/c4014e4323f08d1a32d63c69f15230ad69a8099d,0EIn2Ntcl8IPA5pqI5DqUx,2017,Redman,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",71,2024822,9,18,eOne Music,1,4.406533333333333,49,0.648,0.857,1,-4.631,1,0.352,0.098,0.0,0.158,0.608,89.713,0.06,264.39203,0.0,257.21323,7.178799999999967,spotify:track:0EIn2Ntcl8IPA5pqI5DqUx,https://api.spotify.com/v1/tracks/0EIn2Ntcl8IPA5pqI5DqUx,https://api.spotify.com/v1/audio-analysis/0EIn2Ntcl8IPA5pqI5DqUx,spotify:artist:34EP7KEpOjXcM2TCat1ISk,spotify:album:7gA7voyYSM2TE9CREUkmtX,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,176.10215135102425,88.05107567551212,22.23970468092832
The Saga Continues,Family (Skit),Wu-Tang Clan,2017-10-13,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd,https://i.scdn.co/image/c4014e4323f08d1a32d63c69f15230ad69a8099d,20zlDsTnYPpeUsjnZHJb8J,2017,No Features,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",71,2024822,10,18,eOne Music,1,1.1156166666666667,29,0.599,0.646,4,-6.683,0,0.235,0.16,0.0,0.322,0.509,100.134,0.087,66.93751,0.0,61.28907,5.648440000000001,spotify:track:20zlDsTnYPpeUsjnZHJb8J,https://api.spotify.com/v1/tracks/20zlDsTnYPpeUsjnZHJb8J,https://api.spotify.com/v1/audio-analysis/20zlDsTnYPpeUsjnZHJb8J,spotify:artist:34EP7KEpOjXcM2TCat1ISk,spotify:album:7gA7voyYSM2TE9CREUkmtX,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,197.2003525703273,98.60017628516366,24.2018614518129
The Saga Continues,Why Why Why (feat. RZA and Swnkah),Wu-Tang Clan,2017-10-13,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd,https://i.scdn.co/image/c4014e4323f08d1a32d63c69f15230ad69a8099d,343gWK5XGOzFLlognVIE1Y,2017,RZA,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",71,2024822,11,18,eOne Music,1,4.0,32,0.78,0.82,4,-4.25,0,0.282,0.0122,0.0117,0.104,0.403,168.067,0.523,240.0,0.0,227.86322,12.136779999999987,spotify:track:343gWK5XGOzFLlognVIE1Y,https://api.spotify.com/v1/tracks/343gWK5XGOzFLlognVIE1Y,https://api.spotify.com/v1/audio-analysis/343gWK5XGOzFLlognVIE1Y,spotify:artist:34EP7KEpOjXcM2TCat1ISk,spotify:album:7gA7voyYSM2TE9CREUkmtX,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,335.0,167.5,41.75
The Saga Continues,If What You Say Is True (feat. Streetlife),Wu-Tang Clan,2017-10-13,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd,https://i.scdn.co/image/c4014e4323f08d1a32d63c69f15230ad69a8099d,4Li7C5RBkDNEDR9dwyRFo9,2017,Streetlife,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",71,2024822,13,18,eOne Music,1,3.9249666666666667,30,0.56,0.895,9,-4.737,1,0.369,0.00124,0.000214,0.723,0.277,180.447,0.156,235.49837,0.0,227.3698,8.128569999999996,spotify:track:4Li7C5RBkDNEDR9dwyRFo9,https://api.spotify.com/v1/tracks/4Li7C5RBkDNEDR9dwyRFo9,https://api.spotify.com/v1/audio-analysis/4Li7C5RBkDNEDR9dwyRFo9,spotify:artist:34EP7KEpOjXcM2TCat1ISk,spotify:album:7gA7voyYSM2TE9CREUkmtX,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,356.6909273114846,178.3454636557423,44.58636591393557
The Saga Continues,Saga (Skit) [feat. RZA,Wu-Tang Clan,2017-10-13,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd,https://i.scdn.co/image/c4014e4323f08d1a32d63c69f15230ad69a8099d,2Optu4XTxBZIi0VEZWjcQi,2017,RZA,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",71,2024822,14,18,eOne Music,1,0.96735,27,0.546,0.898,2,-4.417,1,0.36,0.0347,0.0,0.407,0.559,148.683,0.349,58.04104,3.07664,58.04104,0.0,spotify:track:2Optu4XTxBZIi0VEZWjcQi,https://api.spotify.com/v1/tracks/2Optu4XTxBZIi0VEZWjcQi,https://api.spotify.com/v1/audio-analysis/2Optu4XTxBZIi0VEZWjcQi,spotify:artist:34EP7KEpOjXcM2TCat1ISk,spotify:album:7gA7voyYSM2TE9CREUkmtX,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,295.65307282782857,147.82653641391428,36.1813201013077
The Saga Continues,Hood Go Bang! (feat. Redman and Method Man),Wu-Tang Clan,2017-10-13,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd,https://i.scdn.co/image/c4014e4323f08d1a32d63c69f15230ad69a8099d,2z5EyrPaPaYEJqKxRI4LZE,2017,Method Man,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",71,2024822,15,18,eOne Music,1,1.53845,33,0.64,0.833,11,-3.151,0,0.348,0.00483,3.62e-06,0.209,0.534,99.967,0.056,92.30766,0.0,88.52027,3.787390000000002,spotify:track:2z5EyrPaPaYEJqKxRI4LZE,https://api.spotify.com/v1/tracks/2z5EyrPaPaYEJqKxRI4LZE,https://api.spotify.com/v1/audio-analysis/2z5EyrPaPaYEJqKxRI4LZE,spotify:artist:34EP7KEpOjXcM2TCat1ISk,spotify:album:7gA7voyYSM2TE9CREUkmtX,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,189.80142351067633,94.90071175533816,24.05018037635282
