name,album,year,artist,featured_artists,track_number,tracks_on_album,explicit,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature,album_image_url
Wu-Tang The Saga Continues Intro (feat. RZA),The Saga Continues,2017,Wu-Tang Clan,RZA,1,18,1,91080,32,0.48,0.718,1,-5.304,0,0.402,0.0182,0.00196,0.177,0.376,75.086,audio_features,2EsC5nxXhoMrOsYbt59VUM,spotify:track:2EsC5nxXhoMrOsYbt59VUM,https://api.spotify.com/v1/tracks/2EsC5nxXhoMrOsYbt59VUM,https://api.spotify.com/v1/audio-analysis/2EsC5nxXhoMrOsYbt59VUM,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Lesson Learn'd (feat. Inspectah Deck and Redman),The Saga Continues,2017,Wu-Tang Clan,Redman,2,18,1,202667,46,0.846,0.875,7,-3.575,1,0.22,0.000621,0.000239,0.644,0.198,89.966,audio_features,2RQ47bAanXMoCKIIUn5Kxn,spotify:track:2RQ47bAanXMoCKIIUn5Kxn,https://api.spotify.com/v1/tracks/2RQ47bAanXMoCKIIUn5Kxn,https://api.spotify.com/v1/audio-analysis/2RQ47bAanXMoCKIIUn5Kxn,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Fast and Furious (feat. Hue Hef and Raekwon),The Saga Continues,2017,Wu-Tang Clan,Raekwon,3,18,1,222311,35,0.742,0.88,7,-4.063,0,0.129,0.00224,0,0.342,0.401,94.997,audio_features,2B6lQV5InRy13vd7wl26jg,spotify:track:2B6lQV5InRy13vd7wl26jg,https://api.spotify.com/v1/tracks/2B6lQV5InRy13vd7wl26jg,https://api.spotify.com/v1/audio-analysis/2B6lQV5InRy13vd7wl26jg,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Famous Fighters (Skit),The Saga Continues,2017,Wu-Tang Clan,,4,18,1,80607,31,0.901,0.877,8,-5.747,1,0.286,0.0656,0.136,0.357,0.438,102.993,audio_features,09zHR2ttyr84ibzpBVrmNu,spotify:track:09zHR2ttyr84ibzpBVrmNu,https://api.spotify.com/v1/tracks/09zHR2ttyr84ibzpBVrmNu,https://api.spotify.com/v1/audio-analysis/09zHR2ttyr84ibzpBVrmNu,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
If Time Is Money (Fly Navigation) [feat. Method Man],The Saga Continues,2017,Wu-Tang Clan,Method Man,5,18,1,233847,39,0.704,0.727,4,-5.341,0,0.127,0.0513,5.49E-06,0.24,0.597,78.023,audio_features,5l3C7CgpiOoGF6B8qzbOR3,spotify:track:5l3C7CgpiOoGF6B8qzbOR3,https://api.spotify.com/v1/tracks/5l3C7CgpiOoGF6B8qzbOR3,https://api.spotify.com/v1/audio-analysis/5l3C7CgpiOoGF6B8qzbOR3,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
"Frozen (feat. Method Man, Killa Priest and Chris Rivers)",The Saga Continues,2017,Wu-Tang Clan,Method Man,6,18,1,249605,41,0.661,0.823,8,-3.375,0,0.303,0.0426,0,0.141,0.435,89.809,audio_features,549Vf052y5gI5Ix6o57NPL,spotify:track:549Vf052y5gI5Ix6o57NPL,https://api.spotify.com/v1/tracks/549Vf052y5gI5Ix6o57NPL,https://api.spotify.com/v1/audio-analysis/549Vf052y5gI5Ix6o57NPL,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Berto and the Fiend (Skit) [feat. Ghostface Killa],The Saga Continues,2017,Wu-Tang Clan,Ghostface Killah,7,18,1,45250,29,0.468,0.754,8,-2.827,1,0.224,0.47,0,0.198,0.8,114.873,audio_features,7yBCiwqSQN3gfcpnJxKGU2,spotify:track:7yBCiwqSQN3gfcpnJxKGU2,https://api.spotify.com/v1/tracks/7yBCiwqSQN3gfcpnJxKGU2,https://api.spotify.com/v1/audio-analysis/7yBCiwqSQN3gfcpnJxKGU2,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
"Pearl Harbor (feat. Ghostface Killah, Method Man, RZA and Sean Price)",The Saga Continues,2017,Wu-Tang Clan,RZA,8,18,1,298999,40,0.683,0.843,10,-3.012,0,0.252,0.0436,0,0.183,0.581,78.074,audio_features,6I22qil0SJzTpAMuRQXOWF,spotify:track:6I22qil0SJzTpAMuRQXOWF,https://api.spotify.com/v1/tracks/6I22qil0SJzTpAMuRQXOWF,https://api.spotify.com/v1/audio-analysis/6I22qil0SJzTpAMuRQXOWF,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
People Say (feat. Redman),The Saga Continues,2017,Wu-Tang Clan,Redman,9,18,1,264392,50,0.648,0.857,1,-4.631,1,0.352,0.098,0,0.158,0.608,89.713,audio_features,0EIn2Ntcl8IPA5pqI5DqUx,spotify:track:0EIn2Ntcl8IPA5pqI5DqUx,https://api.spotify.com/v1/tracks/0EIn2Ntcl8IPA5pqI5DqUx,https://api.spotify.com/v1/audio-analysis/0EIn2Ntcl8IPA5pqI5DqUx,4,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
Family (Skit),The Saga Continues,2017,Wu-Tang Clan,,10,18,1,66938,29,0.599,0.646,4,-6.683,0,0.235,0.16,0,0.322,0.509,100.134,audio_features,20zlDsTnYPpeUsjnZHJb8J,spotify:track:20zlDsTnYPpeUsjnZHJb8J,https://api.spotify.com/v1/tracks/20zlDsTnYPpeUsjnZHJb8J,https://api.spotify.com/v1/audio-analysis/20zlDsTnYPpeUsjnZHJb8J,1,https://i.scdn.co/image/ab67616d0000b2730801dc9348fc349134b9f7bd
